SOAP,WANem 32kbps
Packet size (B),Time (ms),Time average (ms)
1,550
1,536
1,1029
1,534
1,436
1,436
1,436
1,436
1,437
1,434
1,436
1,460
1,436
1,434
1,433
1,437
1,436
1,437
1,435
1,436
1,,482.2
10,421
10,437
10,439
10,436
10,440
10,438
10,435
10,438
10,439
10,438
10,438
10,437
10,438
10,438
10,439
10,436
10,438
10,438
10,437
10,438
10,,436.9
100,470
100,474
100,470
100,470
100,471
100,473
100,471
100,469
100,472
100,469
100,473
100,471
100,471
100,472
100,470
100,473
100,472
100,471
100,470
100,473
100,,471.25
1000,915
1000,860
1000,839
1000,841
1000,842
1000,841
1000,836
1000,842
1000,839
1000,841
1000,840
1000,840
1000,836
1000,841
1000,845
1000,839
1000,838
1000,843
1000,844
1000,839
1000,,845.05
10000,4748
