SOAP,WANem 256kbps
Packet size (B),Time (ms),Time average (ms)
1,466
1,50
1,43
1,49
1,53
1,48
1,47
1,48
1,48
1,47
1,46
1,48
1,48
1,48
1,47
1,53
1,43
1,48
1,47
1,47
1,,68.7
10,45
10,47
10,48
10,48
10,48
10,48
10,47
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,49
10,47
10,47
10,,47.7
100,51
100,52
100,51
100,53
100,52
100,52
100,53
100,52
100,52
100,52
100,52
100,52
100,52
100,53
100,51
100,53
100,52
100,53
100,51
100,52
100,,52.05
1000,106
1000,103
1000,112
1000,93
1000,93
1000,97
1000,100
1000,100
1000,100
1000,96
1000,95
1000,96
1000,95
1000,98
1000,100
1000,106
1000,102
1000,101
1000,97
1000,100
1000,,99.5
10000,572
10000,553
10000,547
10000,551
10000,544
10000,546
10000,546
10000,540
10000,545
10000,537
10000,544
10000,544
10000,541
10000,545
10000,542
10000,545
10000,542
10000,544
10000,546
10000,545
10000,,545.95
100000,5030
