SOAP,WANem 512kbps
Packet size (B),Time (ms),Time average (ms)
1,478
1,54
1,45
1,30
1,43
1,50
1,35
1,30
1,41
1,44
1,32
1,40
1,31
1,31
1,32
1,41
1,31
1,30
1,40
1,20
1,,58.9
10,25
10,30
10,26
10,29
10,25
10,26
10,28
10,23
10,28
10,24
10,18
10,35
10,25
10,31
10,30
10,27
10,22
10,25
10,21
10,19
10,,25.85
100,29
100,25
100,27
100,23
100,25
100,27
100,26
100,28
100,26
100,21
100,26
100,27
100,25
100,26
100,26
100,26
100,26
100,26
100,26
100,27
100,,25.9
1000,52
1000,52
1000,47
1000,48
1000,48
1000,48
1000,48
1000,48
1000,49
1000,47
1000,48
1000,47
1000,49
1000,48
1000,48
1000,53
1000,48
1000,48
1000,48
1000,48
1000,,48.6
10000,272
10000,272
10000,284
10000,284
10000,287
10000,300
10000,279
10000,281
10000,281
10000,265
10000,286
10000,272
10000,272
10000,284
10000,289
10000,274
10000,273
10000,283
10000,293
10000,276
10000,,280.35
100000,2514
100000,2511
100000,2528
100000,2516
100000,2513
100000,2513
100000,2516
100000,2512
100000,2520
100000,2523
100000,2510
100000,2524
100000,2531
100000,2516
100000,2515
100000,2512
100000,2521
100000,2526
100000,2515
100000,2516
100000,,2517.6
1000000,24986
