SOAP,WANem 128kbps
Packet size (B),Time (ms),Time average (ms)
1,792
1,84
1,110
1,148
1,123
1,98
1,99
1,106
1,94
1,108
1,89
1,107
1,101
1,102
1,92
1,95
1,95
1,99
1,105
1,95
1,,137.1
10,87
10,105
10,96
10,99
10,103
10,105
10,100
10,92
10,96
10,96
10,101
10,103
10,105
10,103
10,101
10,97
10,99
10,104
10,97
10,97
10,,99.3
100,106
100,113
100,105
100,103
100,104
100,109
100,112
100,105
100,104
100,110
100,105
100,109
100,112
100,105
100,104
100,107
100,113
100,110
100,112
100,112
100,,108.0
1000,212
1000,203
1000,191
1000,195
1000,201
1000,182
1000,192
1000,193
1000,191
1000,192
1000,196
1000,200
1000,192
1000,197
1000,205
1000,189
1000,195
1000,201
1000,191
1000,193
1000,,195.55
10000,1140
10000,1113
10000,1097
10000,1085
10000,1091
10000,1098
10000,1089
10000,1088
10000,1088
10000,1090
10000,1088
10000,1090
10000,1088
10000,1094
10000,1097
10000,1089
10000,1087
10000,1088
10000,1097
10000,1085
10000,,1094.1
100000,10060
