SOAP,WANem 64kbps
Packet size (B),Time (ms),Time average (ms)
1,449
1,261
1,282
1,244
1,212
1,207
1,206
1,218
1,210
1,219
1,201
1,207
1,211
1,210
1,206
1,208
1,208
1,212
1,206
1,213
1,,229.5
10,190
10,219
10,217
10,220
10,230
10,220
10,221
10,216
10,220
10,220
10,217
10,219
10,219
10,220
10,188
10,210
10,209
10,210
10,208
10,212
10,,214.25
100,224
100,226
100,228
100,226
100,228
100,225
100,226
100,227
100,227
100,227
100,228
100,227
100,227
100,227
100,226
100,227
100,227
100,229
100,226
100,226
100,,226.7
1000,440
1000,430
1000,421
1000,425
1000,418
1000,422
1000,403
1000,418
1000,418
1000,421
1000,419
1000,420
1000,421
1000,420
1000,403
1000,422
1000,399
1000,421
1000,404
1000,402
1000,,417.35
10000,2301
10000,2253
10000,2214
10000,2200
10000,2190
10000,2196
10000,2192
10000,2193
10000,2195
10000,2195
10000,2213
10000,2200
10000,2198
10000,2196
10000,2199
10000,2196
10000,2190
10000,2197
10000,2198
10000,2195
10000,,2205.55
100000,20156
