Java RMI,WANem 256kbps
Packet size (B),Time (ms),Time average (ms)
1,1
1,1
1,6
1,7
1,7
1,7
1,7
1,9
1,7
1,6
1,5
1,5
1,7
1,6
1,6
1,6
1,6
1,6
1,6
1,7
1,,5.9
10,4
10,6
10,6
10,7
10,7
10,6
10,6
10,5
10,7
10,10
10,4
10,5
10,7
10,6
10,7
10,8
10,5
10,7
10,6
10,7
10,,6.3
100,8
100,9
100,10
100,10
100,9
100,9
100,10
100,10
100,9
100,9
100,10
100,11
100,9
100,9
100,10
100,10
100,9
100,10
100,7
100,10
100,,9.4
1000,37
1000,37
1000,39
1000,37
1000,39
1000,38
1000,37
1000,37
1000,37
1000,38
1000,38
1000,37
1000,38
1000,38
1000,42
1000,33
1000,37
1000,36
1000,38
1000,35
1000,,37.4
10000,393
10000,401
10000,348
10000,344
10000,340
10000,341
10000,337
10000,340
10000,340
10000,339
10000,342
10000,340
10000,340
10000,340
10000,341
10000,338
10000,340
10000,339
10000,339
10000,340
10000,,346.1
100000,3400
