Java RMI,WANem 128kbps
Packet size (B),Time (ms),Time average (ms)
1,8
1,14
1,13
1,19
1,13
1,14
1,13
1,14
1,12
1,14
1,12
1,14
1,12
1,12
1,14
1,12
1,13
1,13
1,13
1,14
1,,13.15
10,14
10,15
10,14
10,14
10,15
10,14
10,13
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,13
10,14
10,13
10,15
10,14
10,,14.0
100,19
100,20
100,19
100,19
100,20
100,20
100,19
100,17
100,19
100,20
100,19
100,20
100,19
100,20
100,19
100,20
100,20
100,18
100,20
100,20
100,,19.35
1000,75
1000,76
1000,76
1000,77
1000,75
1000,76
1000,76
1000,77
1000,77
1000,75
1000,74
1000,76
1000,77
1000,76
1000,77
1000,78
1000,76
1000,76
1000,76
1000,78
1000,,76.2
10000,882
10000,717
10000,704
10000,694
10000,679
10000,679
10000,679
10000,678
10000,680
10000,679
10000,679
10000,680
10000,680
10000,678
10000,679
10000,680
10000,678
10000,679
10000,679
10000,680
10000,,693.15
100000,6779
