Java RMI,WANem 32kbps
Packet size (B),Time (ms),Time average (ms)
1,236
1,54
1,57
1,55
1,55
1,57
1,56
1,53
1,55
1,56
1,53
1,55
1,54
1,56
1,55
1,57
1,56
1,56
1,56
1,56
1,,64.4
10,57
10,58
10,57
10,57
10,58
10,57
10,58
10,58
10,57
10,59
10,57
10,59
10,58
10,58
10,57
10,56
10,56
10,57
10,59
10,56
10,,57.45
100,78
100,80
100,80
100,80
100,80
100,79
100,81
100,80
100,79
100,80
100,81
100,80
100,79
100,82
100,78
100,79
100,81
100,79
100,80
100,79
100,,79.75
1000,307
1000,696
1000,709
1000,687
1000,344
1000,304
1000,305
1000,307
1000,306
1000,306
1000,304
1000,306
1000,303
1000,307
1000,304
1000,306
1000,305
1000,307
1000,305
1000,306
1000,,366.2
10000,3910
