Java RMI,WANem 64kbps
Packet size (B),Time (ms),Time average (ms)
1,84
1,26
1,28
1,27
1,28
1,27
1,27
1,28
1,26
1,27
1,27
1,26
1,26
1,27
1,28
1,27
1,27
1,27
1,28
1,29
1,,30.0
10,26
10,32
10,25
10,27
10,29
10,26
10,28
10,28
10,29
10,29
10,29
10,27
10,30
10,27
10,28
10,29
10,31
10,26
10,28
10,29
10,,28.15
100,37
100,39
100,45
100,32
100,39
100,40
100,40
100,40
100,40
100,40
100,40
100,40
100,37
100,39
100,38
100,41
100,39
100,38
100,38
100,43
100,,39.25
1000,147
1000,154
1000,152
1000,152
1000,152
1000,154
1000,152
1000,152
1000,153
1000,153
1000,154
1000,153
1000,152
1000,153
1000,153
1000,152
1000,152
1000,154
1000,151
1000,164
1000,,152.95
10000,1764
10000,1437
10000,1398
10000,1385
10000,1359
10000,1357
10000,1354
10000,1359
10000,1359
10000,1358
10000,1360
10000,1358
10000,1358
10000,1360
10000,1359
10000,1357
10000,1359
10000,1358
10000,1430
10000,1451
10000,,1394.0
100000,13611
